Sensor load, Sensor distance, Program load, Program distance
-111246.0,153,123.22157519190905,152.59969177422462
-110860.0,151,122.79030255575043,150.67328067809672
-110626.0,150,122.52885748616202,149.71007513003275
-110784.0,152,122.70538877246531,151.63648622616066
-110998.0,152,122.94448810961025,151.63648622616066
-110888.0,150,122.82158658117126,149.71007513003275
-111430.0,151,123.42715593038882,150.67328067809672
-113996.0,149,126.29411340288375,148.74686958196878
-118818.0,152,131.6816694950001,151.63648622616066
-118976.0,153,131.85820078130337,152.59969177422462
-118454.0,153,131.27497716452928,152.59969177422462
-118260.0,154,131.05822355982778,153.56289732228856
-119322.0,151,132.2447819525751,150.67328067809672
-120820.0,154,133.9184773125897,153.56289732228856
-123106.0,151,136.47259453087628,150.67328067809672
-125704.0,154,139.37530517528074,153.56289732228856
-125558.0,153,139.21218132844353,152.59969177422462
-124936.0,154,138.51722904945217,153.56289732228856
-125082.0,152,138.68035289628938,151.63648622616066
-124816.0,153,138.38315465479147,152.59969177422462
-124914.0,151,138.49264874376436,150.67328067809672
-124888.0,152,138.46359929158788,151.63648622616066
-124934.0,151,138.51499447620782,150.67328067809672
-124944.0,151,138.52616734242955,150.67328067809672
-126070.0,151,139.78423207899593,150.67328067809672
-128412.0,151,142.40091734812418,150.67328067809672
-130518.0,152,144.7539229744197,151.63648622616066
-132940.0,154,147.4599911733218,153.56289732228856
-132570.0,155,147.04659512311792,154.52610287035253
-132168.0,154,146.59744590100453,153.56289732228856
-132474.0,153,146.93933560738935,152.59969177422462
-132000.0,155,146.40974174847952,154.52610287035253
-132174.0,153,146.60414962073756,152.59969177422462
-132152.0,155,146.57956931504978,154.52610287035253
-134258.0,151,148.9325749413453,150.67328067809672
-136896.0,157,151.87997705063668,156.45251396648044
-138990.0,153,154.21957523746613,152.59969177422462
-141072.0,154,156.5457659848295,153.56289732228856
-140354.0,155,155.7435541901096,154.52610287035253
-140256.0,155,155.63406010113664,154.52610287035253
-140110.0,155,155.47093625429946,154.52610287035253
-139984.0,154,155.3301581399057,153.56289732228856
-139898.0,154,155.23407149039886,153.56289732228856
-139672.0,155,154.98156471378783,154.52610287035253
-143486.0,156,159.2428958907542,155.4893084184165
-147128.0,155,163.31205376870687,154.52610287035253
-150198.0,156,166.74212369877682,155.4893084184165
-149444.0,156,165.89968958565865,155.4893084184165
-149206.0,152,165.63377536958154,151.63648622616066
-148940.0,154,165.33657712808363,153.56289732228856
-149002.0,156,165.40584889865835,155.4893084184165
-154848.0,161,171.93750649187947,160.30533615873628
-159002.0,157,176.57871512038452,156.45251396648044
-160788.0,159,178.5741890275848,158.37892506260837
-164050.0,158,182.21877798911189,157.4157195145444
-166892.0,157,185.39410656932645,156.45251396648044
-169486.0,159,188.29234806724222,158.37892506260837
-171424.0,161,190.45764954101273,160.30533615873628
-170514.0,161,189.44091871483565,160.30533615873628
-170136.0,159,189.0185843716544,158.37892506260837
-170054.0,157,188.92696686863624,156.45251396648044
-169844.0,160,188.69233667798002,159.3421306106723
-169614.0,159,188.43536075488032,158.37892506260837
-169560.0,159,188.37502727728298,158.37892506260837
-169410.0,158,188.2074342839571,157.4157195145444
-169448.0,159,188.24989117559966,158.37892506260837
-169202.0,156,187.97503866654517,155.4893084184165
-169220.0,158,187.9951498257443,157.4157195145444
-169186.0,160,187.95716208059042,159.3421306106723
-169160.0,160,187.92811262841394,159.3421306106723
-169286.0,161,188.06889074280767,160.30533615873628
-171476.0,158,190.51574844536572,157.4157195145444
-178410.0,160,198.26301388351064,159.3421306106723
-181772.0,160,202.01933150725498,159.3421306106723
-183722.0,161,204.19804042049157,160.30533615873628
-185868.0,162,206.595737511674,161.26854170680022
-188078.0,165,209.0649409466755,164.1581583509921
-189844.0,162,211.0380691214323,161.26854170680022
-190086.0,164,211.30845248399808,163.19495280292816
-191068.0,162,212.4056279469716,161.26854170680022
-192446.0,161,213.94524891232547,160.30533615873628
-195964.0,164,217.8758632491287,163.19495280292816
-197718.0,162,219.8355839844195,161.26854170680022
-199756.0,167,222.11261412040727,166.08456944712
-201342.0,161,223.88463070317306,160.30533615873628
-202964.0,168,225.69686960433705,167.04777499518397
-203798.0,166,226.62868664722902,165.12136389905606
-207156.0,165,230.38053512448465,164.1581583509921
-210338.0,165,233.93574115623792,164.1581583509921
-213720.0,165,237.71440451242572,164.1581583509921
-212582.0,163,236.44293233639326,162.2317472548642
-215544.0,167,239.75233531126855,166.08456944712
-220950.0,166,245.7923867907337,165.12136389905606
-224348.0,165,249.58892673287625,164.1581583509921
-224570.0,166,249.83696436299854,165.12136389905606
-227904.0,165,253.56199796132205,164.1581583509921
-230026.0,164,255.93288017357236,163.19495280292816
-233944.0,173,260.31040915924467,171.86380273550375
-233358.0,167,259.6556791986515,166.08456944712
-236184.0,167,262.8131311929113,166.08456944712
-239334.0,167,266.33258405275507,166.08456944712
-243372.0,167,270.84418743308805,166.08456944712
-245246.0,170,272.93798256303955,168.97418609131188
-244696.0,167,272.3234749208446,166.08456944712
-247818.0,171,275.81164375526754,169.93739163937585
-250624.0,169,278.9467500170839,168.01098054324794
-254262.0,171,283.0114387485479,169.93739163937585
-257836.0,172,287.0046211361928,170.90059718743979
-262962.0,168,292.7318323614496,167.04777499518397
-265712.0,170,295.8043705724243,168.97418609131188
-267838.0,173,298.17972193116333,171.86380273550375
-273076.0,171,304.0320692581035,169.93739163937585
-274802.0,173,305.9605059679734,171.86380273550375
-274748.0,170,305.90017249037606,168.97418609131188
-273426.0,170,304.4231195758639,168.97418609131188
-272908.0,178,303.8443651055785,176.67983047582354
-275606.0,179,306.8588044122002,177.6430360238875
-282500.0,175,314.56137838545817,173.79021383163166
-285026.0,175,317.3836443930662,173.79021383163166
-286484.0,174,319.0126482881939,172.82700828356772
-292234.0,176,325.4370463656864,174.75341937969563
-296504.0,176,330.2078602423635,174.75341937969563
-301922.0,176,336.2613191612947,174.75341937969563
-305724.0,175,340.50924289879504,173.79021383163166
-307898.0,177,342.93822401539825,175.7166249277596
-313132.0,175,348.78610219584976,173.79021383163166
-317270.0,179,353.4094342384,177.6430360238875
-321064.0,179,357.64841968292296,177.6430360238875
-324602.0,179,361.6013797521697,177.6430360238875
-322796.0,183,359.5835601125259,181.49585821614332
-328230.0,176,365.65489561741185,174.75341937969563
-333980.0,180,372.07929369490444,178.60624157195144
-331282.0,179,369.0648543882827,177.6430360238875
-329568.0,183,367.1498251178789,181.49585821614332
-336890.0,181,375.3305977654268,179.5694471200154
-346628.0,185,386.2107348921437,183.42226931227123
-343506.0,181,382.7225660577208,179.5694471200154
-343944.0,183,383.2119375982324,181.49585821614332
-348682.0,182,388.5056416140862,180.53265266807938
-354192.0,180,394.66189090225737,178.60624157195144
-362202.0,184,403.61135674586,182.4590637642073
-359800.0,183,400.9276342794014,181.49585821614332
-358698.0,184,399.69638442176716,182.4590637642073
-357584.0,184,398.4517271246669,182.4590637642073
-357166.0,185,397.9847013165987,183.42226931227123
-356688.0,185,397.45063831120024,183.42226931227123
-356294.0,186,397.01042738206417,184.3854748603352
-356052.0,183,396.7400440194984,181.49585821614332
-355738.0,185,396.3892160201362,183.42226931227123
-355436.0,183,396.0517954602401,181.49585821614332
-355298.0,184,395.89760990638024,182.4590637642073
-355224.0,183,395.8149306963395,181.49585821614332
-354982.0,182,395.5445473337737,180.53265266807938
-354860.0,180,395.40823836586867,178.60624157195144
-354622.0,184,395.1423241497916,182.4590637642073
-354476.0,185,394.9792003029544,183.42226931227123
-354474.0,185,394.97696572971006,183.42226931227123
-354228.0,186,394.7021132206556,184.3854748603352
-354102.0,182,394.56133510626177,180.53265266807938
-353976.0,181,394.42055699186807,179.5694471200154
-353806.0,182,394.2306182660987,180.53265266807938
-354000.0,184,394.4473718708002,182.4590637642073
-354094.0,181,394.5523968132844,179.5694471200154
-353720.0,183,394.1345316165919,181.49585821614332
-353570.0,182,393.96693862326595,180.53265266807938
-353468.0,182,393.85297538780435,180.53265266807938
-353330.0,182,393.69878983394455,180.53265266807938
-353272.0,185,393.63398720985856,183.42226931227123
-353446.0,184,393.8283950821166,182.4590637642073
-353296.0,184,393.6608020887907,182.4590637642073
-353202.0,182,393.55577714630647,180.53265266807938
-353084.0,182,393.42393732489006,180.53265266807938
-352926.0,183,393.24740603858686,181.49585821614332
-352956.0,184,393.280924637252,182.4590637642073
-369154.0,186,411.37873334320403,184.3854748603352
-376648.0,185,419.7516792897656,183.42226931227123
-374470.0,187,417.31822902667363,185.34868040839916
-373408.0,188,416.1316706339263,186.3118859564631
-375866.0,185,418.87796115122666,183.42226931227123
-384088.0,186,428.06429175872984,184.3854748603352
-391734.0,187,436.6070652718617,185.34868040839916
-391360.0,186,436.18920007516914,184.3854748603352
-389522.0,184,434.1356272636159,182.4590637642073
-388996.0,185,433.54793450035305,183.42226931227123
-390486.0,188,435.21269156739027,186.3118859564631
-394708.0,185,439.92987568620305,183.42226931227123
-403934.0,188,450.2379620623676,186.3118859564631
-408392.0,190,455.2188258240131,188.23829705259104
-408770.0,187,455.64116016719436,185.34868040839916
-410220.0,186,457.26122576934466,184.3854748603352
-418470.0,190,466.4788404022687,188.23829705259104
-425636.0,191,474.4853163367577,189.20150260065498
-427914.0,190,477.03049526206695,188.23829705259104
-426372.0,192,475.3076392906768,190.16470814871894
-431662.0,195,481.2180855219699,193.05432479291082
-430548.0,187,479.9734282248696,185.34868040839916
-429614.0,188,478.9298825197604,186.3118859564631
-429068.0,188,478.3198440240541,186.3118859564631
-428382.0,188,477.5533854012437,186.3118859564631
-427908.0,189,477.02379154233387,187.27509150452707
-427698.0,191,476.78916135167765,189.20150260065498
-427336.0,188,476.3847035944512,186.3118859564631
-426458.0,188,475.40372594018356,186.3118859564631
-426624.0,189,475.5891955194642,187.27509150452707
-426746.0,193,475.7255044873693,191.12791369678288
-426300.0,191,475.22719465388036,189.20150260065498
-426062.0,187,474.9612804378033,185.34868040839916
-426328.0,188,475.25847867930116,186.3118859564631
-426174.0,189,475.08641653948655,187.27509150452707
-426024.0,189,474.9188235461607,187.27509150452707
-426186.0,187,475.09982397895266,185.34868040839916
-425968.0,190,474.85625549531903,188.23829705259104
-425934.0,188,474.8182677501651,186.3118859564631
-425620.0,187,474.4674397508029,185.34868040839916
-425570.0,190,474.4115754196943,188.23829705259104
-425140.0,191,473.93114217216004,189.20150260065498
-434626.0,194,484.5297230700895,192.09111924484685
-446520.0,191,497.81873015421064,189.20150260065498
-443798.0,192,494.77747596865674,190.16470814871894
-446880.0,189,498.22095333819277,187.27509150452707
-455646.0,194,508.01508786815793,192.09111924484685
-463148.0,191,516.3969721076968,189.20150260065498
-462014.0,187,515.1299690781531,185.34868040839916
-460624.0,191,513.5769406733332,189.20150260065498
-471870.0,192,526.1419460262864,190.16470814871894
-476160.0,194,530.9351056354069,192.09111924484685
-479302.0,193,534.4456202022733,191.12791369678288
-477600.0,195,532.5439983713355,193.05432479291082
-476638.0,194,531.4691686408054,192.09111924484685
-478988.0,193,534.0947922029111,191.12791369678288
-486442.0,192,542.4230466845858,190.16470814871894
-490200.0,193,546.6218098107105,191.12791369678288
-496246.0,195,553.3769247283661,193.05432479291082
-494188.0,197,551.0775488599348,194.98073588903873
-501710.0,192,559.4817788319173,190.16470814871894
-505560.0,193,563.7833323272819,191.12791369678288
-511266.0,195,570.1585697933988,193.05432479291082
-510536.0,197,569.3429505592128,194.98073588903873
-517306.0,197,576.9069809913213,194.98073588903873
-524832.0,200,585.3156801097925,197.8703525332306
-529390.0,193,590.4082725336552,191.12791369678288
-532752.0,195,594.1645901573995,193.05432479291082
-537238.0,197,599.1767379444659,194.98073588903873
-544900.0,199,607.7373880435524,196.90714698516663
-544782.0,198,607.6055482221361,195.94394143710267
-553368.0,197,617.1985711601102,194.98073588903873
-561106.0,200,625.8441350424819,197.8703525332306
-558996.0,200,623.4866602696976,197.8703525332306
-557606.0,200,621.9336318648777,197.8703525332306
-570296.0,202,636.1119991002482,199.7967636293585
-574842.0,202,641.1911840846449,199.7967636293585
-571048.0,199,636.952198640122,196.90714698516663
-569406.0,203,635.1176140065146,200.75996917742245
-566272.0,201,631.6160377326256,198.83355808129454
-573906.0,204,640.1454038062914,201.72317472548642
-580252.0,201,647.2357047105987,198.83355808129454
-587042.0,202,654.8220808751508,199.7967636293585
-585668.0,201,653.2869290562857,198.83355808129454
-584258.0,200,651.7115549190223,197.8703525332306
-582960.0,203,650.2613168834422,200.75996917742245
-581982.0,206,649.1686105669575,203.64958582161432
-589784.0,203,657.8856807931481,200.75996917742245
-595722.0,200,664.5201287556091,197.8703525332306
-601220.0,202,670.6629706043141,199.7967636293585
-599658.0,204,668.9177689004806,201.72317472548642
-597624.0,205,666.6452079109815,202.68638027355038
-597874.0,208,666.9245295665247,205.57599691774226
-609124.0,206,679.4940040659666,203.64958582161432
-612870.0,208,683.6793597526251,205.57599691774226
-614144.0,205,685.1027829092731,202.68638027355038
-611338.0,205,681.9676766474568,202.68638027355038
-610300.0,205,680.8079331336415,202.68638027355038
-621866.0,206,693.73047020569,203.64958582161432
-623588.0,203,695.6544377690713,200.75996917742245
-629270.0,207,702.0028603562561,204.6127913696783
-629444.0,207,702.1972682285141,204.6127913696783
-634470.0,206,707.8127507915536,203.64958582161432
-635376.0,208,708.825012471242,205.57599691774226
-636322.0,208,709.8819656158174,205.57599691774226
-644196.0,206,718.6794804788045,203.64958582161432
-640314.0,211,714.3421738115303,208.4656135619341
-643232.0,209,717.60241617503,206.5392024658062
-649742.0,211,724.8759520853738,208.4656135619341
-658652.0,209,734.8309758889319,206.5392024658062
-657874.0,209,733.9617268968816,206.5392024658062
-663360.0,210,740.0911613061205,207.50240801387017
-664654.0,210,741.5369301952119,207.50240801387017
-668800.0,213,746.1692005307395,210.39202465806204
-665414.0,213,742.386068028063,210.39202465806204
